,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
53,Smartvote,Original,Train,20,Train,20,VAE,Logistic,Overall,0.817501027538019,0.25325762533651686
54,Smartvote,Original,Train,20,Test,20,VAE,Logistic,Fit,0.8225862068965517,0.24929980666267956
55,Smartvote,Original,Train,20,Test,20,VAE,Logistic,Impute,0.8050574712643679,0.26058990409169325
56,Smartvote,Original,Train,20,Test,20,VAE,Logistic,Overall,0.8190804597701149,0.2515578261484823
57,Smartvote,Original,Train,30,Train,30,VAE,Logistic,Fit,0.821871437545076,0.2500829717892777
58,Smartvote,Original,Train,30,Train,30,VAE,Logistic,Impute,0.8028528191906736,0.26532598910811683
59,Smartvote,Original,Train,30,Train,30,VAE,Logistic,Overall,0.8162926428277846,0.2545542568694705
60,Smartvote,Original,Train,30,Test,30,VAE,Logistic,Fit,0.8169160702667534,0.25092278552025493
61,Smartvote,Original,Train,30,Test,30,VAE,Logistic,Impute,0.8156739811912226,0.260146223214484
62,Smartvote,Original,Train,30,Test,30,VAE,Logistic,Overall,0.816551724137931,0.25362832724389545
63,Smartvote,Original,Train,40,Train,40,VAE,Logistic,Fit,0.8211946842033155,0.25090577718525064
64,Smartvote,Original,Train,40,Train,40,VAE,Logistic,Impute,0.8041923551171393,0.26426883799757295
65,Smartvote,Original,Train,40,Train,40,VAE,Logistic,Overall,0.8143937525688449,0.25625100151017954
66,Smartvote,Original,Train,40,Test,40,VAE,Logistic,Fit,0.8242911877394636,0.24891633916180508
67,Smartvote,Original,Train,40,Test,40,VAE,Logistic,Impute,0.8078160919540229,0.26305297242937276
68,Smartvote,Original,Train,40,Test,40,VAE,Logistic,Overall,0.8177011494252873,0.25457099246883214
69,Smartvote,Original,Train,80,Train,80,VAE,Logistic,Fit,0.8339909576654336,0.24004824710172382
70,Smartvote,Original,Train,80,Train,80,VAE,Logistic,Impute,0.7843403205918619,0.2853979885781984
71,Smartvote,Original,Train,80,Train,80,VAE,Logistic,Overall,0.7942704480065763,0.27632804028290353
72,Smartvote,Original,Train,80,Test,80,VAE,Logistic,Fit,0.8326436781609196,0.24318910777203237
73,Smartvote,Original,Train,80,Test,80,VAE,Logistic,Impute,0.7839655172413793,0.28576378275318726
74,Smartvote,Original,Train,80,Test,80,VAE,Logistic,Overall,0.7937011494252874,0.27724884775695624
75,Smartvote,Original,Train,90,Train,90,VAE,Logistic,Fit,0.8626034877576185,0.22103492684829906
76,Smartvote,Original,Train,90,Train,90,VAE,Logistic,Impute,0.7526383549720752,0.3184942022861211
77,Smartvote,Original,Train,90,Train,90,VAE,Logistic,Overall,0.7629017673653926,0.3093980032452577
78,Smartvote,Original,Train,90,Test,90,VAE,Logistic,Fit,0.8413793103448276,0.24222719385304317
79,Smartvote,Original,Train,90,Test,90,VAE,Logistic,Impute,0.7571501014198783,0.31468368051683976
80,Smartvote,Original,Train,90,Test,90,VAE,Logistic,Overall,0.7650114942528736,0.3079210750948854
81,Smartvote,Original,Train,50,Train,50,VAE,Logistic,Fit,0.8242243476522144,0.24839794845300942
82,Smartvote,Original,Train,50,Train,50,VAE,Logistic,Impute,0.7999870205723928,0.268407230717379
83,Smartvote,Original,Train,50,Train,50,VAE,Logistic,Overall,0.8119441019317715,0.25853598480029
84,Smartvote,Original,Train,50,Test,50,VAE,Logistic,Fit,0.8244175209692451,0.24875170050516743
85,Smartvote,Original,Train,50,Test,50,VAE,Logistic,Impute,0.8005444646098003,0.26645127995087303
86,Smartvote,Original,Train,50,Test,50,VAE,Logistic,Overall,0.8123218390804599,0.25771948742432493
