,x,y
290,1.8131833,-1.8645878
291,1.4142689,2.0834157
292,6.8824363,-3.1569393
293,7.9248943,-2.9894805
294,-2.5227396,3.683123
295,8.802629,0.64297855
296,1.7133852,5.832103
298,1.1732104,-1.4142771
299,-0.5455848,0.88886774
301,11.163046,-9.53555
302,9.750418,0.41620418
303,6.37012,-1.0689845
304,3.6831574,-1.4449594
305,3.1796603,-1.0984251
306,2.8272321,-1.6903923
307,0.9165882,-1.2120395
309,14.23387,-13.46595
310,8.143872,-3.856981
311,1.8953398,1.5397346
312,6.069132,-5.1474237
313,2.7103796,0.88860077
314,11.996299,-2.077699
315,0.26583016,5.872578
316,5.4284916,-0.16631782
317,13.83083,-14.837789
318,-1.102659,4.1539965
320,3.0954854,-1.4689682
321,8.140696,-1.2569358
323,7.600096,-1.1621451
324,10.103081,-0.63530934
325,1.97942,-0.04895194
326,11.921257,-9.685655
327,1.9262443,-1.1010892
328,5.8221006,-0.062449664
329,8.919398,0.4256853
331,1.8405881,2.5184674
332,11.532963,-10.3776245
333,-2.9606102,1.8755631
334,10.016485,-8.082631
336,-1.8132207,6.172006
337,4.2781944,2.962899
338,-0.286523,1.9974091
339,1.3031303,4.9055614
340,1.5416944,6.660635
341,14.494079,-14.429744
342,3.3155599,-1.7006636
343,-0.23333684,-0.061658457
344,3.0857248,0.6945751
345,-0.69723463,1.8986526
346,1.3918632,3.043712
347,13.98202,-10.143495
348,13.201229,-9.160255
351,5.0957417,-3.6863542
352,-4.0728703,3.8176877
353,2.929011,4.572026
354,-4.62512,7.404134
355,-0.4606757,-0.5751057
356,11.422751,-0.6253745
358,4.160981,4.4876504
359,3.2580764,5.791568
360,2.61852,-0.6678481
361,1.926866,0.15891922
362,2.6421566,0.07382017
363,4.5936456,1.6152871
364,10.025984,-8.071819
365,13.718003,-12.957426
366,6.8508067,0.6689942
367,3.7117677,-3.370044
369,3.0781481,-0.89494306
370,11.820272,-0.47682345
371,9.54032,-0.016774386
372,12.867587,-5.3598213
373,7.9118414,2.5645692
374,12.207332,-12.014094
375,13.058221,-13.8067665
376,5.4313045,-0.7867706
377,6.1952972,-2.7913365
378,6.0882716,-2.8447244
379,16.255777,-15.752192
380,-0.21453314,-0.6180796
381,2.4266236,-1.3281505
383,1.288069,5.0932336
385,2.8673365,-0.17519996
386,1.3952639,-0.26212934
387,0.8780358,-0.46836472
388,-0.7093183,1.9650719
389,11.030659,-10.938536
390,12.603738,-12.112063
391,2.8992784,-3.081736
392,2.433858,-0.73840207
394,6.056814,0.335129
395,5.3509984,2.0323825
396,8.071957,-4.9508986
397,-2.5200405,0.9790394
398,14.778771,-12.140122
399,3.8965268,-3.344891
400,-2.1386662,1.8527763
402,1.5114726,-3.41032
403,12.6720295,-12.66743
404,3.6102726,-0.014951527
406,4.243622,-2.1559312
407,12.791065,-8.690689
408,9.593213,-11.324797
409,4.0737405,-3.4113624
411,7.3654695,-9.287263
413,10.982262,-9.661941
415,0.76579833,-1.0621064
416,6.121125,0.99368966
418,-3.618858,4.8417163
419,3.6416948,3.4531598
420,2.7254744,1.4251795
421,2.188663,2.0283563
422,-0.21285251,0.5474764
423,2.7547796,3.4224968
424,3.1113336,-0.8652304
425,3.690125,-1.3529894
426,10.231871,-7.414602
427,16.144144,-12.626127
428,9.093363,-8.198891
429,12.155828,-10.224887
430,15.634545,-13.905214
431,11.12479,-8.660232
432,15.349255,-13.4257145
433,-3.384765,6.156298
434,-3.6028185,4.9036083
435,-3.9354808,6.657623
436,11.6863785,-1.5215435
437,-2.6380415,1.74754
438,14.911345,-11.496561
439,-0.8845037,2.2641385
440,-3.0126417,3.424833
441,4.101908,-0.72639513
443,5.1130676,0.26242343
444,6.7913775,-0.90383
445,6.4742365,-0.24728802
446,-1.4541997,3.7216823
447,4.300126,-0.3193782
448,6.8782797,-1.340812
449,5.9283776,-0.3267149
450,7.9614205,0.35064262
451,-7.0336084,2.920113
452,3.3651457,-0.081386745
453,11.550207,-2.6874015
454,11.795578,-12.1241865
455,-0.5708114,-0.799847
457,2.9647703,-0.09354368
458,14.742472,-13.611158
461,1.6966213,1.804662
462,0.6565515,5.8394213
463,1.2562308,3.7968595
464,0.931878,-0.011421636
465,0.44720435,-2.2416146
466,1.1438199,2.946442
467,6.4640317,-1.4261222
468,11.6916,-10.929938
469,10.034158,-7.708418
470,15.361073,-12.466382
471,11.006928,-12.462282
472,5.8141747,-7.6355057
473,14.4226265,-8.364151
474,3.3471005,4.2237325
475,-2.972827,4.6339793
476,-4.7983565,8.363973
477,2.1150584,0.9321996
478,3.7313833,-0.015554085
479,15.747506,-12.55957
480,3.5316904,4.150665
481,1.1947744,-2.208589
482,-2.4038837,2.8754706
483,7.3564386,-7.195873
484,14.542211,-14.359115
485,2.378249,5.4704285
486,6.797588,-1.3870556
487,1.899677,1.9895604
488,1.5688815,-0.63313246
489,-3.008281,2.247788
490,3.9957638,-3.6868863
491,13.9851465,-10.1575
492,14.588023,-15.185865
493,7.5752196,-7.4638963
494,16.722967,-14.806691
495,-5.582218,6.0164423
496,-3.799394,3.994937
498,-2.3713923,1.1333829
499,4.957153,-2.3230088
500,-0.3115565,1.308356
503,0.561172,-0.33749998
504,-5.3514347,5.532241
505,6.4142056,-10.002836
506,3.6712651,4.289783
510,-0.38423094,-0.4229058
511,3.1089275,-1.1104918
512,0.9498539,-0.19485962
513,1.5087421,-0.6485303
514,4.241749,-1.2147155
516,1.3865502,-0.819433
517,6.5304,-4.9824915
518,10.044785,-8.509062
519,10.984599,-10.123472
520,17.364075,-11.26981
521,-4.172318,5.0993705
522,2.3627007,2.2533197
523,-0.6144371,-2.5066364
524,-6.707252,5.9054084
525,16.32203,-15.20592
526,3.0958436,2.5528553
527,3.6159098,-0.9771133
528,-3.0391283,1.3227024
529,13.812119,-11.643533
531,11.775777,-10.942086
532,-0.6942501,2.8008409
533,6.062051,0.11031552
534,6.9361944,2.3407066
535,5.331651,-0.2144779
536,5.376392,-0.62069106
537,2.975257,0.30378297
538,7.180265,3.7784884
539,1.223591,-2.7725205
541,3.3032439,0.012191653
542,4.005312,-2.5776868
543,10.51564,-0.51021093
544,7.9472384,-1.4854043
545,6.3020773,0.6306898
546,-2.245458,3.3004262
547,0.27408087,-0.44792992
548,3.427696,1.9144013
550,1.2171727,0.8079871
551,2.113868,-1.3508663
552,1.0832573,-1.615361
553,12.165782,-11.110971
554,3.3585286,0.69481766
555,15.325217,-12.847633
557,7.2991824,-5.8730927
558,-3.1406927,4.675342
559,1.4579395,3.1238213
560,2.6389112,2.127313
562,6.495416,-0.3841424
563,-1.1546929,3.9676645
564,-3.1431353,3.3692012
565,-6.8491406,4.9220014
566,2.748497,6.1977987
567,4.0314274,4.097228
568,-4.7587047,4.187567
569,3.7452772,0.94699365
570,8.700769,-3.156961
571,-1.6469351,2.697562
572,2.3527596,-4.126076
573,8.6141615,-1.7137821
574,6.903216,1.0417138
575,11.930158,-13.302782
577,8.060919,1.3215806
578,5.7952385,-7.245946
579,4.3094773,0.11364152
580,0.5477302,-1.9035933
581,8.911455,-11.110419
582,-3.5257256,2.844799
583,-3.0979972,1.609957
584,9.464985,-5.7365904
585,5.694287,1.9699452
586,4.1773157,6.5058703
587,3.2381349,6.2188067
588,2.1172373,-1.2098124
589,-2.0944686,1.1406796
591,0.6624868,-0.50976586
593,13.885738,-10.916951
594,13.087282,-9.571516
595,10.391005,-10.840615
596,14.091964,-11.834609
597,9.843504,-8.751609
599,0.7720566,3.217914
600,2.4312112,1.7855017
601,2.9394183,-2.276182
602,4.793699,1.4193053
603,5.983853,2.0450575
604,2.6733742,-2.5282092
605,4.5454297,4.1468077
606,3.3952749,-1.576695
607,1.7216429,-0.2055681
608,0.7203926,-0.63856864
