,x,y
270,-0.3815735,0.3240659
272,0.5669402,-0.32926446
273,0.26608592,-1.1939952
274,-0.26827446,-1.2589002
276,-0.7876142,-1.1525391
277,-1.0154268,0.8756018
280,-0.03422243,-1.3665015
281,1.2853405,0.06110196
283,-1.489427,0.463102
285,1.3538235,-0.15616183
286,-0.054684512,0.34267417
287,0.5336697,-0.544605
288,1.5121408,0.22839007
289,0.9053786,0.07911348
290,0.1488461,0.8488698
291,-0.70132816,-0.16628273
292,0.57235825,-0.43646926
293,0.61378163,-0.46686828
294,-1.4793954,0.29875234
295,-0.024205387,-1.4028149
296,-1.3868878,-1.0053155
298,-0.044016257,0.8900542
299,-0.6155461,1.0665615
301,1.1761566,0.24771959
302,0.16945688,-1.4107248
303,0.20653637,-0.88161635
304,0.20289122,-0.2339757
305,0.0930178,0.26832125
306,0.30848408,0.306178
307,-0.087123625,0.9050412
309,1.5422922,0.110139124
310,0.712109,-0.3353244
311,-0.41045392,-0.32592854
312,0.9441377,0.22642888
313,-0.26748818,-0.3634548
314,0.47094506,-1.3069143
315,-1.6653634,-0.79675895
316,-0.0029686242,-0.648888
317,1.6806427,0.19191283
318,-1.4664186,-0.15583824
320,0.15051837,0.10833782
321,0.32960838,-1.0292988
323,0.33935696,-1.0855696
324,0.26788402,-1.4606801
325,-0.1574076,0.12509131
326,1.3772714,0.010328823
327,0.028286532,0.6086054
328,0.072690934,-1.0057083
329,0.1408609,-1.4205105
331,-0.700993,-0.13629429
332,1.3549124,0.18258251
333,-1.1928452,0.8345807
334,1.2629353,-0.15654808
336,-1.4108356,-0.30498078
337,-0.6672583,-1.1319755
338,-0.7393128,0.06229423
339,-1.2249013,-1.0095173
340,-1.3926703,-1.1093429
341,1.5347447,0.09523286
342,0.23657702,0.480128
343,-0.41813117,0.93448967
344,-0.28406993,-0.41392675
345,-0.87521863,0.4958046
346,-0.78928983,-0.53961617
347,1.2545083,0.003049365
348,1.2872355,-0.084948815
351,0.74089,0.18738805
352,-1.4177577,0.5779456
353,-0.94172245,-0.9841495
354,-1.9775043,-0.3143087
355,-0.41337395,0.66979694
356,0.24921785,-1.4783435
358,-0.8562654,-1.2729073
359,-0.99684834,-1.246231
360,-0.10715215,0.36240792
361,-0.06250502,0.017679771
362,-0.12867954,-0.09836239
363,-0.2622751,-1.1334261
364,1.1832751,0.10934573
365,1.571196,0.14173198
366,0.033124283,-1.3904996
367,0.61281294,0.43873048
369,-0.09476272,0.4533792
370,0.33350468,-1.4139488
371,0.1862336,-1.5366603
372,0.7825781,-0.8402181
373,-0.1001358,-1.5088886
374,1.4950631,0.06448782
375,1.5040921,0.15308233
376,0.13014434,-0.61568725
377,0.7371309,-0.4760186
378,0.5194945,-0.26453415
379,1.6135684,0.06230183
380,-0.38219574,1.0297067
381,-0.020595685,0.38647842
383,-1.2167699,-0.9609078
385,-0.08007859,-0.03095008
