"","D1","D2"
"Legislator 1",0.526862239539234,-0.0987382554097753
"Legislator 2",-0.709938011373416,-0.127713234473014
"Legislator 3",-0.317796605305414,-0.226731533064582
"Legislator 4",1.43621784183058,0.467822982466989
"Legislator 5",0.131923230137111,-0.426582436521504
"Legislator 6",-0.404585113971074,-0.143834109280709
"Legislator 7",0.231779997962442,-1.19970522684484
"Legislator 8",0.611346405956177,-0.44199072429565
"Legislator 9",1.03840472429109,0.287016547042575
"Legislator 10",1.36327211174201,1.1375347939891
"Legislator 11",-0.130108696390812,0.771674438305574
"Legislator 12",-0.500925592351321,-0.0414142242460813
"Legislator 13",-1.18080527792458,1.65683036977436
"Legislator 14",0.109836536204754,-0.905322693643414
"Legislator 15",-0.420792062974503,0.142098716171025
"Legislator 16",-0.109316092144152,-0.0864496698429996
"Legislator 17",-0.369722688276467,0.687568893295979
"Legislator 18",-0.683127574544951,0.582518684607258
"Legislator 19",-0.872371123496057,1.52808072006818
"Legislator 20",-1.54596323609527,-0.0161827031371173
"Legislator 21",-0.895763921123277,0.762758307231013
"Legislator 22",1.25040530259955,0.90170386527653
"Legislator 23",0.131371482882129,-0.378796538054086
"Legislator 24",0.486237520532607,-0.937214640168935
"Legislator 25",1.15919135618144,-0.928901255299353
"Legislator 26",1.45277156791084,0.525415096799567
"Legislator 27",0.115992923023816,-0.341639923338954
"Legislator 28",-0.25939835502745,0.0567612445205019
"Legislator 29",1.42118066823571,0.102712499600724
"Legislator 30",-0.903995620350233,0.420467878314657
"Legislator 31",1.62280128008052,0.697722307806336
"Legislator 32",-0.536679186664311,-2.07492360475629
"Legislator 33",1.25325150724135,0.813263866809332
"Legislator 34",-0.437759543065512,-1.4809075780876
"Legislator 35",-1.57718381899249,-0.113622355874201
"Legislator 36",1.51950711417249,0.701791546084686
"Legislator 37",0.66695254748679,1.17584819121826
"Legislator 38",-1.10814679643077,1.01479741888083
"Legislator 39",1.19086682335228,1.13063135739017
"Legislator 40",1.0050367667598,0.751079620258103
"Legislator 41",0.404092384201793,-1.53887648308308
"Legislator 42",0.0523335031286754,0.333740729428567
"Legislator 43",0.947987148317822,1.12389846848999
"Legislator 44",1.04121748127483,0.964369792147533
"Legislator 45",-0.797080750125763,0.573560401597068
"Legislator 46",0.611002184777679,-0.94518121844537
"Legislator 47",0.971738961880841,0.818428975288521
"Legislator 48",0.779901445013022,0.98441867773551
"Legislator 49",1.18948985858437,0.900811503724407
"Legislator 50",1.1571059312366,0.752782050761221
"Legislator 51",-0.436849044944306,-0.733829452497938
"Legislator 52",-0.355858633354575,0.0579254812700088
"Legislator 53",0.135926175124706,-0.539299119449494
"Legislator 54",-0.000178836623370286,0.108214845268613
"Legislator 55",-0.793196990506241,0.473356766113112
"Legislator 56",1.36497256868258,0.441667391663431
"Legislator 57",1.25165804742344,1.18732530991909
"Legislator 58",-1.54741774146866,0.389038596251401
"Legislator 59",-0.576807987798008,-1.51008496294389
"Legislator 60",-1.83131134684799,0.819635340135896
"Legislator 61",2.19214094018287,0.39623096806677
"Legislator 62",0.534072826790113,1.17629025317079
"Legislator 63",0.242796972600606,0.640480893293653
"Legislator 64",1.81810863467803,0.19486804785193
"Legislator 65",-0.4380560891569,-0.355921638018937
"Legislator 66",0.123055442804188,-0.0267642453637858
"Legislator 67",0.779620432160666,1.30594317993794
"Legislator 68",0.201732416800408,0.0327927166794272
"Legislator 69",1.78428532897328,0.941062252769193
"Legislator 70",0.984651743144236,-0.0276270588322415
"Legislator 71",1.63933910591027,0.768097744595765
"Legislator 72",0.137450493498282,-0.521496713832599
"Legislator 73",0.151942773506818,-0.822852230548904
"Legislator 74",-0.710379253787918,0.120472878331399
"Legislator 75",1.13960497600623,-0.157069520228041
"Legislator 76",0.659544222005089,1.42711065505303
"Legislator 77",0.200296037480692,-0.317058030186789
"Legislator 78",-1.4820039190602,0.77772843273147
"Legislator 79",-0.676107847096866,-0.0361210087944942
"Legislator 80",-0.513360663109464,0.401940391868223
"Legislator 81",-0.531143715468421,-1.1424911742352
"Legislator 82",0.448719348020387,0.301497614989066
"Legislator 83",-0.0966877719602042,-0.223208587507705
"Legislator 84",-0.0665955590327594,-1.06603533616855
"Legislator 85",-0.638560322999039,0.650772843684175
"Legislator 86",-0.177620042566314,-1.36330431946238
"Legislator 87",-0.550685395289341,-0.0434756322453452
"Legislator 88",0.367958040094593,1.34147190101602
"Legislator 89",1.12750984844214,-0.420084039962649
"Legislator 90",1.64887772265824,0.344654209671745
"Legislator 91",-0.403192927293969,-0.424705181635788
"Legislator 92",1.15814804624384,1.47966626269907
"Legislator 93",1.04474038740787,0.235451013829297
"Legislator 94",0.293774070115669,-1.5996498691973
"Legislator 95",-1.41877306525269,-0.321767160223716
"Legislator 96",-0.601867823901817,-0.452377397945196
"Legislator 97",-0.35973825279854,0.144042284284472
"Legislator 98",1.61716436273206,1.36452862529119
"Legislator 99",1.25112103992625,1.40810115475018
"Legislator 100",-1.4920965909673,-1.45882084437817
"Legislator 101",-1.51609387813325,0.262678151240007
"Legislator 102",-1.3303568678179,0.141872650087681
"Legislator 103",-1.51491782490994,-1.14904631877125
"Legislator 104",0.492472007438573,-0.962105611569457
"Legislator 105",0.619878088438336,-1.16807143019393
"Legislator 106",-1.21418842559426,0.0819959590212345
"Legislator 107",-1.25807753382357,1.14622452505654
"Legislator 108",-0.323530718187323,-1.05011774736167
"Legislator 109",0.634174383845965,-2.09975721333795
"Legislator 110",0.347371484186891,-1.38849374659048
"Legislator 111",-0.899514936855028,1.04808358279375
"Legislator 112",-0.764975911739757,0.91670320991307
"Legislator 113",1.69651969536884,0.545682970657332
"Legislator 114",0.724108068077932,0.415670442136772
"Legislator 115",-0.0714422242802595,-0.405560498319633
"Legislator 116",1.81059303550639,1.15613497125261
"Legislator 117",-1.8999975984326,0.46872790368114
"Legislator 118",-0.968694500786109,0.417649882682976
"Legislator 119",-1.80867413405455,0.334145776036024
"Legislator 120",0.0721989131633997,-0.199356674695538
"Legislator 121",-0.368952182421461,0.201922267377982
"Legislator 122",-0.88339153213851,1.89378147509725
"Legislator 123",1.44111243806566,0.410831135276742
"Legislator 124",1.3136127225793,0.29637754470316
"Legislator 125",1.35733139613574,0.611718876963671
"Legislator 126",1.79300858258074,1.18612735469468
