"","Discrimination D1","Discrimination D2","Difficulty"
"Vote 1",-0.477541683157271,-0.378138501603271,-0.0861186782016384
"Vote 2",-0.601723938671669,-1.15510200380455,1.07352349940495
"Vote 3",-0.264699270253658,-1.20298454045969,1.3497973291798
"Vote 4",1.14432890463977,1.26181357085664,-0.877756570165387
"Vote 5",0.320304016495572,1.20976993657678,-0.704327236132608
"Vote 6",-0.364815274540587,-3.09805785943883,3.5986925345143
"Vote 7",1.56568406649231,1.04995669396441,-0.597880393900144
"Vote 8",-1.44220863855028,-0.00535650757465255,0.0113343598648496
"Vote 9",1.41440338949085,1.62779589970699,-1.87860666867145
"Vote 10",1.49721982823266,1.65415309682383,-1.06258380265514
"Vote 11",-1.3461639399524,-0.0606214997144973,-0.279273564381739
"Vote 12",-1.23051055435989,-1.4293534001044,1.34186133636606
"Vote 13",2.18750848015733,1.29234292488542,-0.606848113221264
"Vote 14",-1.34797564750565,-0.0793237708689088,0.431927011625072
"Vote 15",-0.00467680956366627,0.437023616872859,-0.587555495345919
"Vote 16",0.040067345684909,0.0329891176813277,-0.212825525470008
"Vote 17",1.98372031832258,0.603381565104063,-0.11267208437996
"Vote 18",-0.165154821554814,-0.29385261581085,-0.260477821649287
"Vote 19",1.3051899748668,1.00170481325097,-1.45551131862349
"Vote 20",0.250278116033002,0.0297014178112982,1.49072398909508
"Vote 21",0.605862397630671,0.802733345666318,-1.1458330917233
"Vote 22",0.580866376575178,0.649223730514437,-0.499899519284802
"Vote 23",1.18657386943919,1.87606097221419,-0.539167412751205
"Vote 24",-0.514994266688348,-2.62741822970071,2.43570433574181
"Vote 25",1.46160455739234,1.6338263616794,-0.420553699787434
"Vote 26",-1.05274935306315,-2.0731036723187,1.67493202881876
"Vote 27",-0.602939073989844,-1.84720629982802,1.85005106116069
"Vote 28",0.43648921372183,1.24839446470381,-1.6882310275692
"Vote 29",-0.323423000192558,0.559839709506435,-0.025752070133169
"Vote 30",1.86753951132317,1.17366820389409,-1.47250213998449
"Vote 31",0.0876607478673316,0.354746183830846,-0.486860507438346
"Vote 32",-1.01539890701851,-0.865104257593871,0.870883742331128
"Vote 33",-0.571802455696311,-0.37222645868636,0.752289596327388
"Vote 34",0.109514546668259,0.670045859350118,-0.867757416048765
"Vote 35",1.64798668872189,0.539730860064438,-0.0907458990574487
"Vote 36",-1.13360271263841,-0.284594011891114,-0.517406067136239
"Vote 37",2.13065821335124,0.807892111585686,0.14811114625943
"Vote 38",1.46181480344605,-0.126260660580957,-0.653873237348518
"Vote 39",-1.22903630097479,-0.0336234240420434,0.206889006164216
"Vote 40",1.91562497392616,0.133398956363934,-0.333426812461906
"Vote 41",1.62561451652798,-0.0378789065400672,-1.06802715560049
"Vote 42",-0.863668247758504,0.104555259165092,-0.599074803386222
"Vote 43",1.44890515382053,0.072544687401226,-0.528326986303511
"Vote 44",1.9957121322259,2.68294232709266,-2.74241274597801
"Vote 45",0.99466905357172,2.20700397468201,-1.76963250509505
"Vote 46",1.76429599648402,1.32593007996491,-2.63855397300188
"Vote 47",-1.19686509284541,-1.39924874099448,0.661302510700124
"Vote 48",0.396506989493956,1.09723551760087,-0.187557185744896
"Vote 49",-0.437141745458179,-1.03658213046424,0.975340549446932
"Vote 50",0.893658752310558,0.279030109629919,-1.1049474544784
"Vote 51",1.09206506318432,1.38623920026503,-1.13692765650066
"Vote 52",0.849488390844185,0.988735806148613,-0.763308810098624
"Vote 53",0.935909276985694,1.02223807067609,-1.14559209546413
"Vote 54",2.01257866516789,1.78988221308207,-1.82803223041281
"Vote 55",-0.183315291338685,0.392851799926102,-0.248120170803109
"Vote 56",0.767817344948535,1.4745663650995,0.113618339588635
"Vote 57",0.83503150614542,1.24331697633158,-0.403245466401194
"Vote 58",1.68230564913796,1.40448674303859,-0.672154861836647
"Vote 59",-1.41203445208725,-1.1094639062578,-0.2834058400199
"Vote 60",-0.724840517804782,-0.546240378925985,-0.829110322925625
"Vote 61",-2.03835826223816,-0.417649979868823,-0.278984891261474
"Vote 62",-0.976845566813533,0.329413822269328,-0.788170605789835
"Vote 63",1.34508760268455,1.16150743846589,-1.1284011626525
"Vote 64",0.66129275496647,0.888911453446824,1.14352120372572
"Vote 65",-1.10670507363978,-0.0305066115473506,-0.697038620605079
"Vote 66",2.32026143740172,1.52382101388051,-1.44287690658794
"Vote 67",0.636087623834563,1.39163994523301,-1.37266156955489
"Vote 68",1.53150043872964,1.17867336951409,0.093410598055571
"Vote 69",-1.01690807145222,-1.49109836832545,1.64805772562044
"Vote 70",-0.24747528510626,-0.93214983777502,0.599698230581293
"Vote 71",0.512792308439414,0.666384174726651,-1.0640842351478
"Vote 72",1.84519353153981,0.821538592727908,0.52655182031124
"Vote 73",-0.883882521739678,-1.13666398360854,1.50196505029854
"Vote 74",0.990586803064411,0.595433587892915,-0.591413497571352
"Vote 75",0.272589209581697,-0.670221257909909,1.02956561907562
