,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
53,Smartvote,Binary,Train,40,Train,40,TSNE,LR,Overall,0.8119194410193178,0.3687892026535389
54,Smartvote,Binary,Train,40,Test,40,TSNE,LR,Fit,0.8184674329501915,0.3625036100568351
55,Smartvote,Binary,Train,40,Test,40,TSNE,LR,Impute,0.8033333333333333,0.37267342430518274
56,Smartvote,Binary,Train,40,Test,40,TSNE,LR,Overall,0.8124137931034483,0.3665715357561742
57,Smartvote,Binary,Train,50,Train,50,TSNE,LR,Fit,0.8218582330789482,0.36071541313657934
58,Smartvote,Binary,Train,50,Train,50,TSNE,LR,Impute,0.7986890778116685,0.3764201698252291
59,Smartvote,Binary,Train,50,Train,50,TSNE,LR,Overall,0.8101191944101932,0.3686724898588285
60,Smartvote,Binary,Train,50,Test,50,TSNE,LR,Fit,0.8226467847157503,0.35830876534343437
61,Smartvote,Binary,Train,50,Test,50,TSNE,LR,Impute,0.8009074410163339,0.37287423699163746
62,Smartvote,Binary,Train,50,Test,50,TSNE,LR,Overall,0.811632183908046,0.36568860431185723
63,Smartvote,Binary,Train,60,Train,60,TSNE,LR,Fit,0.8246609124537608,0.3593659525507112
64,Smartvote,Binary,Train,60,Train,60,TSNE,LR,Impute,0.789724619810933,0.38388884227672787
65,Smartvote,Binary,Train,60,Train,60,TSNE,LR,Overall,0.8036991368680642,0.37407968638632116
66,Smartvote,Binary,Train,60,Test,60,TSNE,LR,Fit,0.8206896551724138,0.3622147497819042
67,Smartvote,Binary,Train,60,Test,60,TSNE,LR,Impute,0.7924904214559387,0.3798008333182636
68,Smartvote,Binary,Train,60,Test,60,TSNE,LR,Overall,0.8037701149425287,0.37276639990371985
69,Smartvote,Binary,Train,70,Train,70,TSNE,LR,Fit,0.804857127539806,0.3713630889411192
70,Smartvote,Binary,Train,70,Train,70,TSNE,LR,Impute,0.7688039457459925,0.39717173162181485
71,Smartvote,Binary,Train,70,Train,70,TSNE,LR,Overall,0.7798602548294287,0.3892570811997349
72,Smartvote,Binary,Train,70,Test,70,TSNE,LR,Fit,0.8014992503748126,0.37557873842539974
73,Smartvote,Binary,Train,70,Test,70,TSNE,LR,Impute,0.7740716180371353,0.39303441857967475
74,Smartvote,Binary,Train,70,Test,70,TSNE,LR,Overall,0.7824827586206897,0.3876813433323637
75,Smartvote,Binary,Train,80,Train,80,TSNE,LR,Fit,0.8050965885737772,0.3744306315439918
76,Smartvote,Binary,Train,80,Train,80,TSNE,LR,Impute,0.7539354706124126,0.41174039377428107
77,Smartvote,Binary,Train,80,Train,80,TSNE,LR,Overall,0.7641676942046856,0.4042784413282232
78,Smartvote,Binary,Train,80,Test,80,TSNE,LR,Fit,0.7940229885057472,0.37859178632879076
79,Smartvote,Binary,Train,80,Test,80,TSNE,LR,Impute,0.7545977011494253,0.40980805985070673
80,Smartvote,Binary,Train,80,Test,80,TSNE,LR,Overall,0.7624827586206897,0.40356480514632354
81,Smartvote,Binary,Train,90,Train,90,TSNE,LR,Fit,0.8124009159767482,0.37129071082114434
82,Smartvote,Binary,Train,90,Train,90,TSNE,LR,Impute,0.7071788641473853,0.4525264471463508
83,Smartvote,Binary,Train,90,Train,90,TSNE,LR,Overall,0.7169995889847924,0.44494444508933156
84,Smartvote,Binary,Train,90,Test,90,TSNE,LR,Fit,0.7807881773399015,0.3935618598207979
85,Smartvote,Binary,Train,90,Test,90,TSNE,LR,Impute,0.708265720081136,0.45194966065702247
86,Smartvote,Binary,Train,90,Test,90,TSNE,LR,Overall,0.7150344827586208,0.44650013257897486
