,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
51,Smartvote,Binary,Train,90,Train,90,IDEAL,IRT,Fit,0.8775761846045447,0.29191554975412004
52,Smartvote,Binary,Train,90,Train,90,IDEAL,IRT,Impute,0.7631736418365127,0.4132951795012896
53,Smartvote,Binary,Train,90,Train,90,IDEAL,IRT,Overall,0.7738512124948623,0.40196641405822037
54,Smartvote,Original,Train,90,Test,90,IDEAL,IRT,Fit,0.8625615763546798,0.2747219698472984
55,Smartvote,Original,Train,90,Test,90,IDEAL,IRT,Impute,0.753448275862069,0.3452510172136087
56,Smartvote,Original,Train,90,Test,90,IDEAL,IRT,Overall,0.763632183908046,0.33866830612608634
57,Smartvote,Binary,Train,90,Test,90,IDEAL,IRT,Fit,0.8625615763546798,0.3257360924096275
58,Smartvote,Binary,Train,90,Test,90,IDEAL,IRT,Impute,0.753448275862069,0.4151992998088439
59,Smartvote,Binary,Train,90,Test,90,IDEAL,IRT,Overall,0.763632183908046,0.40684940045158374
60,Smartvote,Original,Train,80,Train,80,IDEAL,IRT,Fit,0.8487464036169339,0.25933610228308845
61,Smartvote,Original,Train,80,Train,80,IDEAL,IRT,Impute,0.7927353062063296,0.3034748819083056
62,Smartvote,Original,Train,80,Train,80,IDEAL,IRT,Overall,0.8039375256884504,0.2946471259832622
63,Smartvote,Binary,Train,80,Train,80,IDEAL,IRT,Fit,0.8487464036169339,0.32382143563625504
64,Smartvote,Binary,Train,80,Train,80,IDEAL,IRT,Impute,0.7927353062063296,0.378365387202698
65,Smartvote,Binary,Train,80,Train,80,IDEAL,IRT,Overall,0.8039375256884504,0.36745659688940946
66,Smartvote,Original,Train,80,Test,80,IDEAL,IRT,Fit,0.8485057471264368,0.258972279770562
67,Smartvote,Original,Train,80,Test,80,IDEAL,IRT,Impute,0.7930459770114943,0.30038184299632
68,Smartvote,Original,Train,80,Test,80,IDEAL,IRT,Overall,0.8041379310344828,0.2920999303511684
69,Smartvote,Binary,Train,80,Test,80,IDEAL,IRT,Fit,0.8485057471264368,0.3311551317414777
70,Smartvote,Binary,Train,80,Test,80,IDEAL,IRT,Impute,0.7930459770114943,0.37767929145484613
71,Smartvote,Binary,Train,80,Test,80,IDEAL,IRT,Overall,0.8041379310344828,0.36837445951217246
72,Smartvote,Original,Train,40,Train,40,IDEAL,IRT,Fit,0.8299630086313193,0.2683918042693971
73,Smartvote,Original,Train,40,Train,40,IDEAL,IRT,Impute,0.8137073571722153,0.2801165446902353
74,Smartvote,Original,Train,40,Train,40,IDEAL,IRT,Overall,0.8234607480476777,0.2730817004377324
75,Smartvote,Binary,Train,40,Train,40,IDEAL,IRT,Fit,0.8299630086313193,0.34111679875585743
76,Smartvote,Binary,Train,40,Train,40,IDEAL,IRT,Impute,0.8137073571722153,0.35767705262847654
77,Smartvote,Binary,Train,40,Train,40,IDEAL,IRT,Overall,0.8234607480476777,0.3477409003049051
78,Smartvote,Original,Train,40,Test,40,IDEAL,IRT,Fit,0.8439080459770115,0.2615953562739283
79,Smartvote,Original,Train,40,Test,40,IDEAL,IRT,Impute,0.8187356321839081,0.27839301485543316
80,Smartvote,Original,Train,40,Test,40,IDEAL,IRT,Overall,0.8338390804597702,0.26831441970653025
81,Smartvote,Binary,Train,40,Test,40,IDEAL,IRT,Fit,0.8439080459770115,0.3371686391968877
82,Smartvote,Binary,Train,40,Test,40,IDEAL,IRT,Impute,0.8187356321839081,0.35570137809821034
83,Smartvote,Binary,Train,40,Test,40,IDEAL,IRT,Overall,0.8338390804597702,0.34458173475741677
84,Smartvote,Original,Train,30,Train,30,IDEAL,IRT,Fit,0.8305725519391387,0.2674701759625581
85,Smartvote,Original,Train,30,Train,30,IDEAL,IRT,Impute,0.811932518775922,0.2822946830959613
86,Smartvote,Original,Train,30,Train,30,IDEAL,IRT,Overall,0.8251048088779285,0.27181869805502307
87,Smartvote,Binary,Train,30,Train,30,IDEAL,IRT,Fit,0.8305725519391387,0.3403458184655963
88,Smartvote,Binary,Train,30,Train,30,IDEAL,IRT,Impute,0.811932518775922,0.3599684709901282
89,Smartvote,Binary,Train,30,Train,30,IDEAL,IRT,Overall,0.8251048088779285,0.346101796539459
90,Smartvote,Original,Train,30,Test,30,IDEAL,IRT,Fit,0.8394925178919974,0.2656603412994357
91,Smartvote,Original,Train,30,Test,30,IDEAL,IRT,Impute,0.819435736677116,0.2743824741036462
92,Smartvote,Original,Train,30,Test,30,IDEAL,IRT,Overall,0.8336091954022988,0.2682188335886708
93,Smartvote,Binary,Train,30,Test,30,IDEAL,IRT,Fit,0.8394925178919974,0.3395675680552962
94,Smartvote,Binary,Train,30,Test,30,IDEAL,IRT,Impute,0.819435736677116,0.3529525104120036
95,Smartvote,Binary,Train,30,Test,30,IDEAL,IRT,Overall,0.8336091954022988,0.3434938178132637
96,Smartvote,Original,Train,20,Train,20,IDEAL,IRT,Fit,0.8287094122482532,0.26832477468135885
97,Smartvote,Original,Train,20,Train,20,IDEAL,IRT,Impute,0.8189066995478833,0.27877251729833824
98,Smartvote,Original,Train,20,Train,20,IDEAL,IRT,Overall,0.8267488697081793,0.2704143232047547
99,Smartvote,Binary,Train,20,Train,20,IDEAL,IRT,Fit,0.8287094122482532,0.3424131939883819
