,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
54,Smartvote,Original,Train,40,Test,40,TSNE,LR,Fit,0.7998467432950191,0.290363829098458
55,Smartvote,Original,Train,40,Test,40,TSNE,LR,Impute,0.7965517241379311,0.29794653487331546
56,Smartvote,Original,Train,40,Test,40,TSNE,LR,Overall,0.798528735632184,0.29339691140840096
57,Smartvote,Original,Train,50,Train,50,TSNE,LR,Fit,0.818842270136968,0.27906849189720057
58,Smartvote,Original,Train,50,Train,50,TSNE,LR,Impute,0.8024531118177689,0.29068329463651194
59,Smartvote,Original,Train,50,Train,50,TSNE,LR,Overall,0.8105384299219072,0.2849533252851183
60,Smartvote,Original,Train,50,Test,50,TSNE,LR,Fit,0.8221808014911463,0.2769468775324082
61,Smartvote,Original,Train,50,Test,50,TSNE,LR,Impute,0.8010889292196007,0.2902091650332313
62,Smartvote,Original,Train,50,Test,50,TSNE,LR,Overall,0.8114942528735631,0.28366643653282525
63,Smartvote,Original,Train,60,Train,60,TSNE,LR,Fit,0.8191122071516646,0.2795049066404349
64,Smartvote,Original,Train,60,Train,60,TSNE,LR,Impute,0.7923825181531716,0.29910583433482013
65,Smartvote,Original,Train,60,Train,60,TSNE,LR,Overall,0.8030743937525688,0.29126546325706604
66,Smartvote,Original,Train,60,Test,60,TSNE,LR,Fit,0.8133333333333334,0.28023766902368624
67,Smartvote,Original,Train,60,Test,60,TSNE,LR,Impute,0.7922605363984674,0.298244692441567
68,Smartvote,Original,Train,60,Test,60,TSNE,LR,Overall,0.8006896551724138,0.2910418830744147
69,Smartvote,Original,Train,70,Train,70,TSNE,LR,Fit,0.7952876212941618,0.29592460937979903
70,Smartvote,Original,Train,70,Train,70,TSNE,LR,Impute,0.770404533813905,0.3129500918204692
71,Smartvote,Original,Train,70,Train,70,TSNE,LR,Overall,0.7780353473078504,0.307728943871997
72,Smartvote,Original,Train,70,Test,70,TSNE,LR,Fit,0.7926536731634183,0.295816208734853
73,Smartvote,Original,Train,70,Test,70,TSNE,LR,Impute,0.7734084880636605,0.30984863749867747
74,Smartvote,Original,Train,70,Test,70,TSNE,LR,Overall,0.7793103448275862,0.30554535934443794
75,Smartvote,Original,Train,80,Train,80,TSNE,LR,Fit,0.7914508836826962,0.30021420993201364
76,Smartvote,Original,Train,80,Train,80,TSNE,LR,Impute,0.7560624743115495,0.3265723861788014
77,Smartvote,Original,Train,80,Train,80,TSNE,LR,Overall,0.7631401561857789,0.3213007509294438
78,Smartvote,Original,Train,80,Test,80,TSNE,LR,Fit,0.787816091954023,0.3025667050699844
79,Smartvote,Original,Train,80,Test,80,TSNE,LR,Impute,0.7546551724137931,0.32714245737320186
80,Smartvote,Original,Train,80,Test,80,TSNE,LR,Overall,0.7612873563218391,0.32222730691255835
81,Smartvote,Original,Train,90,Train,90,TSNE,LR,Fit,0.7761141447947859,0.31632889433704675
82,Smartvote,Original,Train,90,Train,90,TSNE,LR,Impute,0.6967614419380577,0.3791938928420405
83,Smartvote,Original,Train,90,Train,90,TSNE,LR,Overall,0.7041676942046856,0.37332649298157444
84,Smartvote,Original,Train,90,Test,90,TSNE,LR,Fit,0.7532019704433497,0.33214406484990094
85,Smartvote,Original,Train,90,Test,90,TSNE,LR,Impute,0.7051724137931035,0.3730939451066879
86,Smartvote,Original,Train,90,Test,90,TSNE,LR,Overall,0.7096551724137931,0.36927195628272114
