"","D1","D2"
"Legislator 1",0.324613761852041,-0.176787916648484
"Legislator 2",-0.617260238066777,0.450473098163361
"Legislator 3",-0.492765386860327,0.221293060133639
"Legislator 4",1.3821975115413,-0.839219288488856
"Legislator 5",-0.0803092288829095,-0.15155814856851
"Legislator 6",-0.26632731327173,0.0274286362802488
"Legislator 7",-0.646302916861535,-0.853132289353232
"Legislator 8",0.0199081090085298,-0.926298360128675
"Legislator 9",0.794424580273651,-0.61638753651221
"Legislator 10",1.84486792988295,0.00905421786775841
"Legislator 11",0.200618990477225,0.229862800027077
"Legislator 12",-0.380865263338031,0.4097353797406
"Legislator 13",0.335799088169425,2.19226507673853
"Legislator 14",-0.539356056706039,-1.04002573079048
"Legislator 15",-0.229528695625401,0.204513706212644
"Legislator 16",-0.19549161328698,0.0281821043871448
"Legislator 17",0.335192472738433,0.447640291947306
"Legislator 18",-0.0591515802368986,0.625901710491766
"Legislator 19",0.266048751798167,1.49195737701412
"Legislator 20",-1.10232900566781,1.53127721430619
"Legislator 21",-0.127410316653047,1.6202692169662
"Legislator 22",1.76611966427762,0.102537132186186
"Legislator 23",-0.238179093545981,-0.613022561803337
"Legislator 24",-0.435631991529948,-0.771108118739367
"Legislator 25",0.252267868388893,-0.993053789207562
"Legislator 26",1.72712702722095,-0.791060925564776
"Legislator 27",-0.0760398499903599,-0.0631529600608529
"Legislator 28",-0.22682226776079,-0.0180679108355651
"Legislator 29",0.843373374192017,-1.18292575056563
"Legislator 30",-0.336613877553841,0.35606510032422
"Legislator 31",1.61047861114057,-0.548204550711339
"Legislator 32",-2.03257938697148,-1.06611282871302
"Legislator 33",1.80693687127951,-0.298150522964117
"Legislator 34",-1.48401405850922,-0.353695344476931
"Legislator 35",-1.15508250021936,0.654111352273991
"Legislator 36",1.58400156106086,-0.626587449890976
"Legislator 37",1.81768510326548,0.58386031926672
"Legislator 38",-0.0388022277047811,2.0125562242951
"Legislator 39",2.06695185670714,0.419440870727243
