,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
48,Smartvote,Binary,Train,0,Test,10,PCA,Matrix Factorization,Fit,0.8239835306227483,0.35331861532227077
49,Smartvote,Binary,Train,0,Test,10,PCA,Matrix Factorization,Impute,0.8060344827586207,0.36521657336488916
50,Smartvote,Binary,Train,0,Test,10,PCA,Matrix Factorization,Overall,0.8220689655172413,0.3545877308468167
51,Smartvote,Binary,Train,20,Train,20,PCA,Matrix Factorization,Fit,0.8211056309083435,0.35830183204471183
52,Smartvote,Binary,Train,20,Train,20,PCA,Matrix Factorization,Impute,0.8106041923551172,0.36711701016754983
53,Smartvote,Binary,Train,20,Train,20,PCA,Matrix Factorization,Overall,0.8190053431976984,0.3600648676692795
54,Smartvote,Binary,Train,20,Test,20,PCA,Matrix Factorization,Fit,0.8228735632183908,0.3565312117790701
55,Smartvote,Binary,Train,20,Test,20,PCA,Matrix Factorization,Impute,0.8103448275862069,0.3659185578619768
56,Smartvote,Binary,Train,20,Test,20,PCA,Matrix Factorization,Overall,0.8203678160919541,0.3584086809956515
57,Smartvote,Binary,Train,30,Train,30,PCA,Matrix Factorization,Fit,0.8189516785705977,0.36131456793028965
58,Smartvote,Binary,Train,30,Train,30,PCA,Matrix Factorization,Impute,0.8000784665396257,0.3749859008266479
59,Smartvote,Binary,Train,30,Train,30,PCA,Matrix Factorization,Overall,0.813415536374846,0.36532482557988805
60,Smartvote,Binary,Train,30,Test,30,PCA,Matrix Factorization,Fit,0.8159401431359792,0.3617459635356898
61,Smartvote,Binary,Train,30,Test,30,PCA,Matrix Factorization,Impute,0.8034482758620689,0.3705613968684665
62,Smartvote,Binary,Train,30,Test,30,PCA,Matrix Factorization,Overall,0.8122758620689655,0.36433182397997094
63,Smartvote,Binary,Train,40,Train,40,PCA,Matrix Factorization,Fit,0.8101246746129607,0.3698684886283471
64,Smartvote,Binary,Train,40,Train,40,PCA,Matrix Factorization,Impute,0.7936909165639129,0.3802491005371642
65,Smartvote,Binary,Train,40,Train,40,PCA,Matrix Factorization,Overall,0.8035511713933415,0.3740207333918739
66,Smartvote,Binary,Train,40,Test,40,PCA,Matrix Factorization,Fit,0.8098084291187739,0.3686279035444837
67,Smartvote,Binary,Train,40,Test,40,PCA,Matrix Factorization,Impute,0.7973563218390805,0.37934083892435916
68,Smartvote,Binary,Train,40,Test,40,PCA,Matrix Factorization,Overall,0.8048275862068965,0.3729130776964339
69,Smartvote,Binary,Train,80,Train,80,PCA,Matrix Factorization,Fit,0.7605014385532265,0.41207201012132993
70,Smartvote,Binary,Train,80,Train,80,PCA,Matrix Factorization,Impute,0.7295006165228113,0.4270699300555087
71,Smartvote,Binary,Train,80,Train,80,PCA,Matrix Factorization,Overall,0.7357007809288942,0.42407034606867294
72,Smartvote,Binary,Train,80,Test,80,PCA,Matrix Factorization,Fit,0.7560919540229885,0.4137375126769841
73,Smartvote,Binary,Train,80,Test,80,PCA,Matrix Factorization,Impute,0.7253448275862069,0.4276064451152401
74,Smartvote,Binary,Train,80,Test,80,PCA,Matrix Factorization,Overall,0.7314942528735632,0.4248326586275889
75,Smartvote,Binary,Train,90,Train,90,PCA,Matrix Factorization,Fit,0.7420292407961953,0.4236476857527382
76,Smartvote,Binary,Train,90,Train,90,PCA,Matrix Factorization,Impute,0.6994088634220643,0.4440062725298448
77,Smartvote,Binary,Train,90,Train,90,PCA,Matrix Factorization,Overall,0.7033867653103165,0.4421061377639815
78,Smartvote,Binary,Train,90,Test,90,PCA,Matrix Factorization,Fit,0.7206896551724138,0.43607579801632956
79,Smartvote,Binary,Train,90,Test,90,PCA,Matrix Factorization,Impute,0.6994421906693712,0.4427964866428242
80,Smartvote,Binary,Train,90,Test,90,PCA,Matrix Factorization,Overall,0.7014252873563218,0.4421692223710181
81,Smartvote,Binary,Train,50,Train,50,PCA,Matrix Factorization,Fit,0.8027127003699137,0.3789290906119512
82,Smartvote,Binary,Train,50,Train,50,PCA,Matrix Factorization,Impute,0.7859530144720618,0.38934718615197106
83,Smartvote,Binary,Train,50,Train,50,PCA,Matrix Factorization,Overall,0.7942211261816687,0.3842075923522279
84,Smartvote,Binary,Train,50,Test,50,PCA,Matrix Factorization,Fit,0.8043802423112768,0.3773143608851409
85,Smartvote,Binary,Train,50,Test,50,PCA,Matrix Factorization,Impute,0.7817604355716878,0.3890532726966961
86,Smartvote,Binary,Train,50,Test,50,PCA,Matrix Factorization,Overall,0.792919540229885,0.38326207620299557
