"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1443","SVP",19,6,2,33,0.763109028339386,0.866666666666667,-0.549780249595642,-0.618184864521027,0,0,0
"Legislator 1444","FDP",21,9,3,27,0.69587367773056,0.8,-0.216787323355675,0.976218819618225,0,0,0
"Legislator 1445","FDP",20,7,6,27,0.631561756134033,0.783333333333333,-0.317636370658875,0.228996470570564,0,0,0
"Legislator 1446","SP",37,3,1,19,0.848163187503815,0.933333333333333,0.462282299995422,-0.886732757091522,0,0,0
"Legislator 1447","SVP",17,9,5,29,0.593499183654785,0.766666666666667,-0.272653520107269,-0.00945860240608454,0,0,0
"Legislator 1448","glp",31,7,5,17,0.635047554969788,0.8,0.0530963465571404,-0.332341104745865,0,0,0
"Legislator 1449","BDP",22,7,11,20,0.537336707115173,0.7,-0.138047903776169,-0.306962370872498,0,0,0
"Legislator 1450","BDP",35,7,4,14,0.682635128498077,0.816666666666667,0.064935177564621,-0.240708440542221,0,0,0
"Legislator 1451","SVP",21,4,2,33,0.714912295341492,0.9,-0.491447597742081,-0.415055960416794,0,0,0
"Legislator 1452","Grüne",32,2,12,14,0.577735304832458,0.766666666666667,0.118495598435402,-0.879952192306519,0,0,0
"Legislator 1453","SVP",20,8,8,24,0.592439532279968,0.733333333333333,-0.364261865615845,-0.228932410478592,0,0,0
"Legislator 1454","SVP",17,6,7,30,0.66630482673645,0.783333333333333,-0.378965258598328,-0.908438384532928,0,0,0
"Legislator 1455","glp",30,7,1,22,0.786964476108551,0.866666666666667,-0.00566672580316663,0.999983966350555,0,0,0
"Legislator 1456","Grüne",36,3,0,21,0.909583508968353,0.95,0.733211040496826,-0.094824343919754,0,0,0
"Legislator 1457","FDP",25,6,3,26,0.733369767665863,0.85,-0.198335528373718,0.980134129524231,0,0,0
"Legislator 1458","CVP",23,8,3,26,0.63852858543396,0.816666666666667,-0.173435240983963,-0.282566219568253,0,0,0
"Legislator 1459","BDP",18,6,7,29,0.619594573974609,0.783333333333333,-0.243861585855484,0.1617761105299,0,0,0
"Legislator 1460","SP",34,2,1,23,0.868206143379211,0.95,0.738251090049744,-0.309876799583435,0,0,0
"Legislator 1461","SP",31,3,2,24,0.829919278621674,0.916666666666667,0.527625799179077,-0.730458617210388,0,0,0
"Legislator 1462","FDP",22,3,9,26,0.637879073619843,0.8,-0.248695194721222,0.257078319787979,0,0,0
"Legislator 1463","glp",32,7,7,14,0.604317247867584,0.766666666666667,-0.00484167970716953,0.277215659618378,0,0,0
"Legislator 1464","SVP",15,9,7,29,0.557598829269409,0.733333333333333,-0.485643595457077,-0.322938740253448,0,0,0
"Legislator 1465","glp",32,9,5,14,0.573490262031555,0.766666666666667,0.0123084336519241,-0.0842520743608475,0,0,0
"Legislator 1466","glp",39,7,3,11,0.66033262014389,0.833333333333333,0.0641779452562332,0.175102829933167,0,0,0
"Legislator 1467","SP",35,1,3,21,0.856308102607727,0.933333333333333,0.612798154354095,-0.244828045368195,0,0,0
"Legislator 1468","CVP",29,11,7,13,0.536309361457825,0.7,0.0195749625563622,-0.148696690797806,0,0,0
"Legislator 1469","CVP",23,9,13,15,0.523180305957794,0.633333333333333,0.00662688259035349,-0.530041515827179,0,0,0
"Legislator 1470","SVP",19,4,11,26,0.603573977947235,0.75,-0.261739432811737,-0.965138614177704,0,0,0
"Legislator 1471","SP",31,5,5,19,0.697769582271576,0.833333333333333,0.167700618505478,-0.391924232244492,0,0,0
"Legislator 1472","SVP",17,12,8,23,0.517741918563843,0.666666666666667,-0.200459092855453,-0.954868316650391,0,0,0
"Legislator 1473","SVP",18,8,10,24,0.59194415807724,0.7,-0.322760552167892,-0.126315221190453,0,0,0
"Legislator 1474","SVP",19,8,9,24,0.60862809419632,0.716666666666667,-0.181387394666672,-0.54242867231369,0,0,0
"Legislator 1475","SVP",19,15,10,16,0.492687493562698,0.583333333333333,-0.150482624769211,-0.0465363338589668,0,0,0
"Legislator 1476","SP",36,1,2,21,0.86907023191452,0.95,0.474063366651535,-0.132179766893387,0,0,0
"Legislator 1477","SP",40,0,3,17,0.846638917922974,0.95,0.398242622613907,-0.0626154839992523,0,0,0
"Legislator 1478","SVP",28,7,7,18,0.597547888755798,0.766666666666667,-0.0925066694617271,-0.552409768104553,0,0,0
"Legislator 1479","Grüne",31,8,6,15,0.668122172355652,0.766666666666667,0.18287268280983,-0.0537873096764088,0,0,0
"Legislator 1480","SVP",12,15,5,28,0.556922316551208,0.666666666666667,-0.278772294521332,-0.257560431957245,0,0,0
"Legislator 1481","Grüne",33,1,6,20,0.732152700424194,0.883333333333333,0.398069798946381,-0.46905717253685,0,0,0
"Legislator 1482","SVP",18,11,4,27,0.59252268075943,0.75,-0.310629099607468,-0.249424174427986,0,0,0
"Legislator 1483","Grüne",32,3,3,22,0.791452288627625,0.9,0.360735327005386,-0.789448857307434,0,0,0
"Legislator 1484","FDP",18,7,5,30,0.626140117645264,0.8,-0.248212337493896,0.601888656616211,0,0,0
"Legislator 1485","FDP",21,6,10,23,0.615908324718475,0.733333333333333,-0.219591930508614,0.293060123920441,0,0,0
"Legislator 1486","Grüne",33,4,0,23,0.866900026798248,0.933333333333333,0.659773170948029,-0.0922319069504738,0,0,0
"Legislator 1487","Grüne",31,4,4,21,0.712723672389984,0.866666666666667,0.424650996923447,-0.396481245756149,0,0,0
"Legislator 1488","CVP",33,5,6,16,0.681942284107208,0.816666666666667,0.0991224125027657,-0.21638685464859,0,0,0
"Legislator 1489","CVP",22,7,3,28,0.655045211315155,0.833333333333333,-0.216432332992554,0.201405107975006,0,0,0
"Legislator 1490","CVP",20,9,10,21,0.54423999786377,0.683333333333333,-0.2300935536623,-0.572650372982025,0,0,0
"Legislator 1491","SP",32,5,2,21,0.807476341724396,0.883333333333333,0.407769531011581,-0.125370025634766,0,0,0
"Legislator 1492","SP",36,3,1,20,0.861154198646545,0.933333333333333,0.590038895606995,0.0671896487474442,0,0,0
"Legislator 1493","Grüne",31,3,2,24,0.878520250320435,0.916666666666667,0.659931361675262,-0.751325786113739,0,0,0
"Legislator 1494","glp",29,9,1,21,0.679125666618347,0.833333333333333,-0.155094057321548,0.591557383537292,0,0,0
"Legislator 1495","glp",30,6,6,18,0.619956791400909,0.8,-0.0690389648079872,-0.256939440965652,0,0,0
"Legislator 1496","Grüne",32,3,3,22,0.7925745844841,0.9,0.274755865335464,-0.388211488723755,0,0,0
"Legislator 1497","FDP",15,14,4,27,0.567670404911041,0.7,-0.285908550024033,0.0012021764414385,0,0,0
"Legislator 1498","CVP",27,12,3,18,0.608131289482117,0.75,-0.0141294710338116,-0.286051362752914,0,0,0
"Legislator 1499","SP",37,5,5,13,0.71862530708313,0.833333333333333,0.0787353441119194,0.654421806335449,0,0,0
"Legislator 1500","SP",36,3,1,20,0.882230818271637,0.933333333333333,0.672557711601257,-0.0879144221544266,0,0,0
"Legislator 1501","SP",28,8,4,20,0.594101190567017,0.8,0.227100566029549,-0.532633006572723,0,0,0
"Legislator 1502","CVP",33,4,2,21,0.793383061885834,0.9,0.150134369730949,-0.310099869966507,0,0,0
"Legislator 1503","FDP",17,11,7,25,0.559251844882965,0.7,-0.288766622543335,0.00410114554688334,0,0,0
"Legislator 1504","SP",38,2,2,18,0.864579260349274,0.933333333333333,0.838930070400238,-0.234363257884979,0,0,0
"Legislator 1505","SP",41,0,0,19,0.903220176696777,1,0.551127672195435,0.192941918969154,0,0,0
"Legislator 1506","SVP",21,9,11,19,0.555927515029907,0.666666666666667,-0.187153428792953,-0.648643493652344,0,0,0
"Legislator 1507","Grüne",34,0,0,26,0.933350145816803,1,0.829217493534088,-0.496835172176361,0,0,0
"Legislator 1508","Grüne",36,0,1,23,0.921721994876862,0.983333333333333,0.70553869009018,-0.558537781238556,0,0,0
"Legislator 1509","Grüne",28,6,2,24,0.708388566970825,0.866666666666667,0.180897176265717,-0.76459264755249,0,0,0
"Legislator 1510","glp",33,7,5,15,0.622233152389526,0.8,-0.0540522262454033,0.230617329478264,0,0,0
"Legislator 1511","BDP",27,6,11,16,0.61502879858017,0.716666666666667,-0.104078397154808,0.0936534255743027,0,0,0
"Legislator 1512","Grüne",28,6,7,19,0.633563041687012,0.783333333333333,0.113786339759827,-0.898033857345581,0,0,0
"Legislator 1513","SP",34,1,2,23,0.880516111850739,0.95,0.970498025417328,-0.217160925269127,0,0,0
"Legislator 1514","SP",34,7,2,17,0.680625438690186,0.85,0.153686553239822,-0.190915435552597,0,0,0
"Legislator 1515","glp",35,3,4,18,0.717437088489532,0.883333333333333,-0.0268167052417994,0.903569519519806,0,0,0
"Legislator 1516","glp",23,9,3,25,0.655840635299683,0.8,-0.158242166042328,0.611090898513794,0,0,0
"Legislator 1517","glp",32,5,4,19,0.708006143569946,0.85,-0.012693920172751,0.629664421081543,0,0,0
"Legislator 1518","SP",36,0,1,23,0.879358768463135,0.983333333333333,0.460649400949478,0.194635733962059,0,0,0
"Legislator 1519","CVP",18,11,7,24,0.541898131370544,0.7,-0.142990857362747,-0.0415701381862164,0,0,0
"Legislator 1520","SP",36,2,2,20,0.864156186580658,0.933333333333333,0.801136672496796,0.598481595516205,0,0,0
"Legislator 1521","SVP",16,9,7,28,0.556145429611206,0.733333333333333,-0.396824955940247,-0.240564912557602,0,0,0
"Legislator 1522","SP",35,0,1,24,0.923257231712341,0.983333333333333,0.803595662117004,-0.308470368385315,0,0,0
"Legislator 1523","SP",32,3,5,20,0.774447619915009,0.866666666666667,0.429655849933624,-0.105520099401474,0,0,0
"Legislator 1524","SP",35,3,4,18,0.702884078025818,0.883333333333333,0.268689841032028,-0.451158404350281,0,0,0
"Legislator 1525","SP",30,3,1,26,0.848487257957458,0.933333333333333,0.694748401641846,-0.71925288438797,0,0,0
"Legislator 1526","SP",41,1,0,18,0.904345810413361,0.983333333333333,0.642144799232483,0.0411608777940273,0,0,0
"Legislator 1527","BDP",29,10,6,15,0.578229427337646,0.733333333333333,0.0613222569227219,-0.307878822088242,0,0,0
"Legislator 1528","Grüne",37,2,0,21,0.879835426807404,0.966666666666667,0.782021224498749,-0.623251795768738,0,0,0
"Legislator 1529","Grüne",33,2,3,22,0.837283909320831,0.916666666666667,0.891912579536438,-0.447677046060562,0,0,0
"Legislator 1530","Grüne",36,3,0,21,0.86648440361023,0.95,0.527773022651672,-0.673485577106476,0,0,0
"Legislator 1531","CVP",30,10,2,18,0.630735456943512,0.8,0.0948897302150726,-0.271441131830215,0,0,0
"Legislator 1532","Grüne",33,3,0,24,0.887044310569763,0.95,0.802342116832733,-0.596864402294159,0,0,0
"Legislator 1533","Grüne",32,4,1,23,0.858299732208252,0.916666666666667,0.465639293193817,-0.884974598884583,0,0,0
"Legislator 1534","SVP",20,4,7,29,0.649016857147217,0.816666666666667,-0.405500710010529,-0.53872162103653,0,0,0
"Legislator 1535","glp",34,5,1,20,0.761629164218903,0.9,-0.0135222943499684,0.999908626079559,0,0,0
"Legislator 1536","CVP",28,3,6,23,0.654623925685883,0.85,0.00145884102676064,-0.560200452804565,0,0,0
"Legislator 1537","SP",36,2,2,20,0.827867090702057,0.933333333333333,0.419801980257034,0.0211516171693802,0,0,0
"Legislator 1538","SP",37,3,5,15,0.757840752601624,0.866666666666667,0.450637668371201,-0.04981829226017,0,0,0
"Legislator 1539","SVP",20,5,6,29,0.744461953639984,0.816666666666667,-0.55946284532547,0.113095492124557,0,0,0
"Legislator 1540","SVP",17,13,6,24,0.580108821392059,0.683333333333333,-0.319497436285019,0.233342260122299,0,0,0
"Legislator 1541","SP",42,3,3,12,0.715706706047058,0.9,0.109001100063324,0.150609001517296,0,0,0
"Legislator 1542","CVP",20,9,2,29,0.628146052360535,0.816666666666667,-0.176316857337952,-0.316831886768341,0,0,0
"Legislator 1543","Grüne",33,4,0,23,0.874303817749023,0.933333333333333,0.653727293014526,-0.0164792668074369,0,0,0
"Legislator 1544","Grüne",35,0,1,24,0.937739789485931,0.983333333333333,0.855003952980042,-0.518621385097504,0,0,0
"Legislator 1545","SVP",18,5,13,24,0.556546092033386,0.7,-0.30150830745697,-0.95346349477768,0,0,0
"Legislator 1546","SP",33,7,2,18,0.773897230625153,0.85,0.283042460680008,-0.256532579660416,0,0,0
"Legislator 1547","Grüne",31,3,1,25,0.863568842411041,0.933333333333333,0.708711862564087,-0.705498039722443,0,0,0
"Legislator 1548","FDP",36,4,7,13,0.649150431156158,0.816666666666667,-0.0124718388542533,0.0147173712030053,0,0,0
"Legislator 1549","Grüne",34,0,2,24,0.883862018585205,0.966666666666667,0.576983213424683,-0.229454591870308,0,0,0
"Legislator 1550","CVP",22,5,7,26,0.582258462905884,0.8,-0.150982767343521,-0.52890557050705,0,0,0
"Legislator 1551","SP",36,2,2,20,0.898831367492676,0.933333333333333,0.599567711353302,-0.541837513446808,0,0,0
"Legislator 1552","SP",37,1,1,21,0.909112095832825,0.966666666666667,0.661190807819366,0.0292384866625071,0,0,0
"Legislator 1553","SVP",15,10,5,30,0.642214179039001,0.75,-0.430548280477524,0.162444844841957,0,0,0
"Legislator 1554","SP",38,1,1,20,0.862173616886139,0.966666666666667,0.521993637084961,0.131305307149887,0,0,0
"Legislator 1555","Grüne",35,2,1,22,0.908387720584869,0.95,0.828154385089874,-0.339826434850693,0,0,0
"Legislator 1556","FDP",27,1,10,22,0.64154726266861,0.816666666666667,-0.277551651000977,0.215379521250725,0,0,0
"Legislator 1557","FDP",18,6,8,28,0.637228906154633,0.766666666666667,-0.319807350635529,0.591368198394775,0,0,0
"Legislator 1558","Grüne",38,2,0,20,0.848210155963898,0.966666666666667,0.377607017755508,-0.451821267604828,0,0,0
"Legislator 1559","CVP",30,3,10,17,0.611003458499908,0.783333333333333,0.116903498768806,-0.458875745534897,0,0,0
"Legislator 1560","CVP",27,6,8,19,0.621073424816132,0.766666666666667,-0.0674310401082039,-0.587578892707825,0,0,0
"Legislator 1561","CVP",26,5,11,18,0.576606929302216,0.733333333333333,-0.295030802488327,-0.156102105975151,0,0,0
"Legislator 1562","SP",38,2,3,17,0.732268333435059,0.916666666666667,0.278186351060867,0.140874803066254,0,0,0
"Legislator 1563","SP",37,1,3,19,0.839697539806366,0.933333333333333,0.333646029233932,-0.352206885814667,0,0,0
"Legislator 1564","SVP",20,11,15,14,0.490120261907578,0.566666666666667,-0.230333760380745,-0.512363851070404,0,0,0
"Legislator 1565","SVP",21,6,14,19,0.536309242248535,0.666666666666667,-0.243486881256104,-0.727778494358063,0,0,0
"Legislator 1566","Grüne",30,5,3,22,0.72695779800415,0.866666666666667,0.351187497377396,-0.462145060300827,0,0,0
"Legislator 1567","SP",32,3,6,19,0.75773161649704,0.85,0.274582594633102,-0.0407019965350628,0,0,0
"Legislator 1568","SVP",22,6,5,27,0.629665970802307,0.816666666666667,-0.34752744436264,0.00280227488838136,0,0,0
"Legislator 1569","Grüne",34,1,4,21,0.867921531200409,0.916666666666667,0.480192631483078,-0.40447586774826,0,0,0
"Legislator 1570","glp",41,3,2,14,0.7807377576828,0.916666666666667,0.0197822581976652,0.717146396636963,0,0,0
"Legislator 1571","glp",32,7,1,20,0.716261863708496,0.866666666666667,0.036673579365015,0.68830019235611,0,0,0
"Legislator 1572","SVP",18,6,5,31,0.686527609825134,0.816666666666667,-0.516954064369202,-0.0234769806265831,0,0,0
"Legislator 1573","SVP",18,7,9,26,0.59098356962204,0.733333333333333,-0.311762720346451,0.0321975760161877,0,0,0
"Legislator 1574","CVP",29,9,3,19,0.632740437984467,0.8,-0.0354229956865311,-0.10152629762888,0,0,0
"Legislator 1575","SVP",19,6,5,30,0.607441306114197,0.816666666666667,-0.498308628797531,-0.364431589841843,0,0,0
"Legislator 1576","SP",33,4,4,19,0.694546282291412,0.866666666666667,0.175857275724411,-0.675276815891266,0,0,0
"Legislator 1577","Grüne",27,9,7,17,0.599906861782074,0.733333333333333,0.045804213732481,-0.628246009349823,0,0,0
"Legislator 1578","SVP",18,5,9,28,0.635676741600037,0.766666666666667,-0.38796404004097,-0.433017730712891,0,0,0
"Legislator 1579","glp",33,3,3,21,0.778898060321808,0.9,0.205138757824898,-0.323709607124329,0,0,0
"Legislator 1580","glp",38,5,5,12,0.666756212711334,0.833333333333333,0.195265308022499,0.0750332176685333,0,0,0
"Legislator 1581","Grüne",30,3,2,25,0.806661367416382,0.916666666666667,0.621757686138153,-0.78320974111557,0,0,0
"Legislator 1582","FDP",17,10,8,25,0.587045252323151,0.7,-0.213236153125763,0.187690481543541,0,0,0
"Legislator 1583","CVP",28,4,9,19,0.624227106571198,0.783333333333333,-0.114909470081329,0.600663006305695,0,0,0
"Legislator 1584","SP",35,2,7,16,0.747759878635406,0.85,0.384591698646545,-0.38682097196579,0,0,0
"Legislator 1585","FDP",29,9,6,16,0.611265361309052,0.75,-0.0726278871297836,-0.379898458719254,0,0,0
"Legislator 1586","SP",35,4,4,17,0.818645179271698,0.866666666666667,0.400864720344543,-0.0768448933959007,0,0,0
"Legislator 1587","SP",36,6,4,14,0.690218448638916,0.833333333333333,0.122836753726006,-0.204580023884773,0,0,0
"Legislator 1588","SP",32,6,1,21,0.824046194553375,0.883333333333333,0.375179290771484,-0.926952242851257,0,0,0
"Legislator 1589","Grüne",33,4,2,21,0.832383990287781,0.9,0.669960498809814,-0.742396712303162,0,0,0
"Legislator 1590","glp",33,7,4,16,0.654532551765442,0.816666666666667,0.11041683703661,0.392179936170578,0,0,0
"Legislator 1591","CVP",31,6,2,21,0.662176072597504,0.866666666666667,-0.0149854514747858,0.145724356174469,0,0,0
"Legislator 1592","SP",32,4,3,21,0.768040299415588,0.883333333333333,0.431010574102402,-0.511669754981995,0,0,0
"Legislator 1593","SVP",21,2,1,36,0.858720600605011,0.95,-0.965403199195862,-0.260761737823486,0,0,0
"Legislator 1594","SP",33,5,2,20,0.703440308570862,0.883333333333333,0.145150437951088,-0.144746124744415,0,0,0
"Legislator 1595","CVP",32,8,5,15,0.652876019477844,0.783333333333333,0.0429219044744968,-0.352811396121979,0,0,0
"Legislator 1596","CVP",26,8,8,18,0.577007353305817,0.733333333333333,-0.0480055660009384,-0.173506826162338,0,0,0
"Legislator 1597","glp",35,4,8,13,0.573014676570892,0.8,-0.0495105050504208,-0.0216890387237072,0,0,0
"Legislator 1598","SP",38,2,5,15,0.802074015140533,0.883333333333333,0.291430443525314,-0.287413656711578,0,0,0
"Legislator 1599","SVP",23,5,7,25,0.616062045097351,0.8,-0.350778520107269,-0.588969886302948,0,0,0
"Legislator 1600","SP",40,0,1,19,0.894117832183838,0.983333333333333,0.440284729003906,0.118344381451607,0,0,0
"Legislator 1601","SP",33,2,5,20,0.759416580200195,0.883333333333333,0.311066478490829,-0.436987221240997,0,0,0
"Legislator 1602","CVP",28,8,3,21,0.660275757312775,0.816666666666667,0.184765219688416,-0.437388986349106,0,0,0
"Legislator 1603","BDP",32,5,5,18,0.651172518730164,0.833333333333333,0.00850082188844681,-0.400056838989258,0,0,0
"Legislator 1604","SVP",19,6,7,28,0.643359065055847,0.783333333333333,-0.413669139146805,-0.595642566680908,0,0,0
"Legislator 1605","Grüne",29,5,2,24,0.75132405757904,0.883333333333333,0.254576057195663,-0.591196954250336,0,0,0
"Legislator 1606","CVP",20,6,11,23,0.578013300895691,0.716666666666667,-0.251644283533096,-0.00845297332853079,0,0,0
"Legislator 1607","CVP",35,6,5,14,0.678458452224731,0.816666666666667,0.0508284904062748,0.341450840234756,0,0,0
"Legislator 1608","Grüne",33,4,4,19,0.734078288078308,0.866666666666667,0.321943074464798,-0.351296246051788,0,0,0
"Legislator 1609","Grüne",34,2,0,24,0.867783784866333,0.966666666666667,0.441443711519241,-0.897288978099823,0,0,0
"Legislator 1610","CVP",20,10,4,26,0.600879371166229,0.766666666666667,-0.182416722178459,-0.40057310461998,0,0,0
"Legislator 1611","SP",36,1,3,20,0.850698590278625,0.933333333333333,0.355479001998901,-0.646556496620178,0,0,0
"Legislator 1612","SP",34,3,2,21,0.814726173877716,0.916666666666667,0.27928102016449,-0.274434596300125,0,0,0
"Legislator 1613","SVP",22,5,10,23,0.63262403011322,0.75,-0.233392953872681,-0.972382485866547,0,0,0
"Legislator 1614","SVP",20,12,11,17,0.523874700069427,0.616666666666667,-0.16396751999855,-0.388463497161865,0,0,0
"Legislator 1615","SVP",19,6,10,25,0.585631489753723,0.733333333333333,-0.366162121295929,-0.0784263834357262,0,0,0
"Legislator 1616","Grüne",32,3,4,21,0.696675658226013,0.883333333333333,0.242423459887505,-0.941329479217529,0,0,0
"Legislator 1617","SVP",19,5,9,27,0.649789690971375,0.766666666666667,-0.445890933275223,-0.816040217876434,0,0,0
"Legislator 1618","Grüne",33,4,4,19,0.783043384552002,0.866666666666667,0.500449001789093,-0.256074100732803,0,0,0
"Legislator 1619","Grüne",34,3,1,22,0.836550295352936,0.933333333333333,0.79796427488327,-0.602704703807831,0,0,0
"Legislator 1620","SP",31,5,7,17,0.613607704639435,0.8,0.138749673962593,-0.385414749383926,0,0,0
"Legislator 1621","CVP",22,6,16,16,0.543697834014893,0.633333333333333,-0.171706005930901,-0.560225784778595,0,0,0
"Legislator 1622","CVP",31,6,7,16,0.607708394527435,0.783333333333333,-0.0399464964866638,0.062786228954792,0,0,0
