"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1271","CVP",17,15,5,23,0.565554916858673,0.666666666666667,-0.232587188482285,-0.0926079079508781,0,0,0
"Legislator 1272","CVP",35,6,2,17,0.707648932933807,0.866666666666667,0.118849754333496,-0.152086213231087,0,0,0
"Legislator 1273","SP",33,2,1,24,0.888431012630463,0.95,0.558518767356873,0.0349205546081066,0,0,0
"Legislator 1274","SP",20,15,5,20,0.550537526607513,0.666666666666667,-0.0744800716638565,-0.442310184240341,0,0,0
"Legislator 1275","SP",34,6,1,19,0.758902192115784,0.883333333333333,0.115469589829445,0.067804716527462,0,0,0
"Legislator 1276","SP",34,3,1,22,0.791936039924622,0.933333333333333,0.393074631690979,-0.153002768754959,0,0,0
"Legislator 1277","SP",31,4,2,23,0.830636978149414,0.9,0.503645360469818,-0.539419174194336,0,0,0
"Legislator 1278","SP",38,3,1,18,0.791592001914978,0.933333333333333,0.56094890832901,0.0150629496201873,0,0,0
"Legislator 1279","SP",34,4,1,21,0.872293829917908,0.916666666666667,0.465498387813568,-0.595920145511627,0,0,0
"Legislator 1280","SP",38,1,1,20,0.884977161884308,0.966666666666667,0.622292697429657,0.0832522213459015,0,0,0
"Legislator 1281","Grüne",34,2,1,23,0.865108788013458,0.95,0.54454231262207,-0.17572908103466,0,0,0
"Legislator 1282","FDP",29,8,6,17,0.598868489265442,0.766666666666667,-0.0777029618620872,0.287364840507507,0,0,0
"Legislator 1283","Grüne",32,9,4,15,0.614409565925598,0.783333333333333,0.190359577536583,-0.193495899438858,0,0,0
"Legislator 1284","glp",20,9,8,23,0.59308797121048,0.716666666666667,-0.176243841648102,0.183942764997482,0,0,0
"Legislator 1285","CVP",18,14,3,25,0.609660029411316,0.716666666666667,-0.0999080315232277,-0.733546257019043,0,0,0
"Legislator 1286","CVP",27,9,2,22,0.617107927799225,0.816666666666667,-0.118864096701145,-0.131051167845726,0,0,0
"Legislator 1287","SP",34,1,2,23,0.859112620353699,0.95,0.556840240955353,-0.245266303420067,0,0,0
"Legislator 1288","CVP",22,8,3,27,0.623565077781677,0.816666666666667,-0.1470947265625,-0.529678463935852,0,0,0
"Legislator 1289","glp",32,6,0,22,0.729939639568329,0.9,0.0175187531858683,0.708608210086823,0,0,0
"Legislator 1290","FDP",21,6,6,27,0.71145111322403,0.8,-0.285107135772705,0.810968816280365,0,0,0
"Legislator 1291","SVP",23,9,10,18,0.549019336700439,0.683333333333333,-0.259378671646118,-0.445617169141769,0,0,0
"Legislator 1292","SVP",18,8,9,25,0.540667712688446,0.716666666666667,-0.288842350244522,-0.478102028369904,0,0,0
"Legislator 1293","FDP",15,14,6,25,0.596238315105438,0.666666666666667,-0.296337932348251,-0.170101299881935,0,0,0
"Legislator 1294","glp",27,12,3,18,0.651215255260468,0.75,-0.0145041784271598,0.336991280317307,0,0,0
"Legislator 1295","FDP",24,7,5,24,0.602026879787445,0.8,-0.203190416097641,0.0431142225861549,0,0,0
"Legislator 1296","CVP",33,7,4,16,0.65402889251709,0.816666666666667,-0.0628103017807007,0.271829545497894,0,0,0
"Legislator 1297","CVP",38,4,3,15,0.742058575153351,0.883333333333333,0.210206091403961,0.361192762851715,0,0,0
"Legislator 1298","SVP",21,1,9,29,0.675009071826935,0.833333333333333,-0.384839296340942,-0.922983527183533,0,0,0
"Legislator 1299","Grüne",32,4,0,24,0.738372802734375,0.933333333333333,0.198119848966599,-0.760528743267059,0,0,0
"Legislator 1300","BDP",21,8,7,24,0.595552563667297,0.75,-0.166715398430824,-0.0472314693033695,0,0,0
"Legislator 1301","BDP",23,12,5,20,0.576305270195007,0.716666666666667,-0.164294376969337,-0.204480156302452,0,0,0
"Legislator 1302","glp",31,11,4,14,0.666284680366516,0.75,0.0592371001839638,0.0519741997122765,0,0,0
"Legislator 1303","Grüne",37,1,2,20,0.903648614883423,0.95,0.589338481426239,-0.237284049391747,0,0,0
"Legislator 1304","glp",34,9,1,16,0.682097852230072,0.833333333333333,0.0654016807675362,0.0645292773842812,0,0,0
"Legislator 1305","glp",35,5,6,14,0.69206577539444,0.816666666666667,0.107295945286751,-0.32897675037384,0,0,0
"Legislator 1306","CVP",23,15,9,13,0.491565495729446,0.6,-0.0193661265075207,-0.0304527319967747,0,0,0
"Legislator 1307","SVP",19,7,4,30,0.674772500991821,0.816666666666667,-0.49979242682457,-0.18689900636673,0,0,0
"Legislator 1308","FDP",21,12,5,22,0.598141074180603,0.716666666666667,-0.229585856199265,0.775744795799255,0,0,0
"Legislator 1309","FDP",17,9,7,27,0.62537807226181,0.733333333333333,-0.233324572443962,0.345067292451859,0,0,0
"Legislator 1310","FDP",15,9,3,33,0.686518490314484,0.8,-0.338647097349167,0.653764545917511,0,0,0
"Legislator 1311","CVP",19,11,8,22,0.591456294059753,0.683333333333333,-0.210504129528999,-0.407693564891815,0,0,0
"Legislator 1312","CVP",24,7,1,28,0.645110845565796,0.866666666666667,-0.0902632400393486,-0.261179983615875,0,0,0
"Legislator 1313","CVP",21,9,5,25,0.641182005405426,0.766666666666667,-0.132649749517441,-0.556778728961945,0,0,0
"Legislator 1314","CVP",24,12,6,18,0.593656599521637,0.7,-0.101308099925518,-0.404684066772461,0,0,0
"Legislator 1315","CVP",28,8,8,16,0.596569299697876,0.733333333333333,-0.0221550278365612,-0.460737466812134,0,0,0
"Legislator 1316","SP",38,1,1,20,0.886902511119843,0.966666666666667,0.579878449440002,0.0251275021582842,0,0,0
"Legislator 1317","SP",36,3,1,20,0.854038655757904,0.933333333333333,0.528853178024292,0.0726435407996178,0,0,0
"Legislator 1318","SP",41,0,0,19,0.876341283321381,1,0.391054332256317,-0.0907157361507416,0,0,0
"Legislator 1319","Grüne",34,3,4,19,0.709075689315796,0.883333333333333,0.280038803815842,-0.523600459098816,0,0,0
"Legislator 1320","SVP",21,2,1,36,0.849102258682251,0.95,-0.964365541934967,-0.26457342505455,0,0,0
"Legislator 1321","SVP",23,5,9,23,0.588578820228577,0.766666666666667,-0.373366475105286,-0.460130840539932,0,0,0
"Legislator 1322","glp",34,6,1,19,0.70566338300705,0.883333333333333,0.0686728209257126,0.331170380115509,0,0,0
"Legislator 1323","SVP",17,6,8,29,0.596633493900299,0.766666666666667,-0.32444617152214,-0.598726511001587,0,0,0
"Legislator 1324","CVP",16,13,2,29,0.598533809185028,0.75,-0.191480040550232,-0.207695692777634,0,0,0
"Legislator 1325","CVP",27,10,2,21,0.657955348491669,0.8,0.0581304021179676,-0.453692615032196,0,0,0
"Legislator 1326","SP",33,7,2,18,0.743297040462494,0.85,0.268780559301376,-0.120815396308899,0,0,0
"Legislator 1327","CVP",34,3,4,19,0.675958931446075,0.883333333333333,-0.0933776721358299,0.109427750110626,0,0,0
"Legislator 1328","CVP",24,7,0,29,0.665648758411407,0.883333333333333,-0.100283175706863,-0.323873847723007,0,0,0
"Legislator 1329","FDP",19,10,6,25,0.620640099048615,0.733333333333333,-0.190793171525002,0.0420485027134418,0,0,0
"Legislator 1330","SVP",20,8,1,31,0.70691853761673,0.85,-0.653562545776367,-0.685648202896118,0,0,0
